,MACE-OMOL-0-100M,MACE-OMOL-0-4M
V30_HF_CO_2+,-5817.90498852696,-5817.890568712249
V30_HF_CO_2-,-5817.905014632525,-5817.890515622278
V30_HF_CO_3+,-5817.905001675267,-5817.890542550043
V30_HF_CO_3-,-5817.905001675267,-5817.890542550043
V30_HF_CO_5+,-5817.904660004771,-5817.890154965395
V30_HF_CO_5-,-5817.905325978195,-5817.890912806239
V30_HF_CO_6+,-5817.90461179505,-5817.890227513521
V30_HF_CO_6-,-5817.905328490125,-5817.890797509284
V30_HF_H2O,-4813.951595202245,-4813.940204156879
V30_HF_H2O_0+,-4813.951606289671,-4813.940282694396
V30_HF_H2O_0-,-4813.951582922167,-4813.940124322386
V30_HF_H2O_1+,-4813.951595374336,-4813.940204496894
V30_HF_H2O_1-,-4813.951595374336,-4813.940204496894
V30_HF_H2O_2+,-4813.951569958727,-4813.94009759175
V30_HF_H2O_2-,-4813.951619090993,-4813.940309209945
V30_HF_H2O_3+,-4813.951588969397,-4813.940177221795
V30_HF_H2O_3-,-4813.951590034769,-4813.940222276792
V30_HF_H2O_4+,-4813.9515864954765,-4813.94019640778
V30_HF_H2O_4-,-4813.9515864954765,-4813.94019640778
V30_HF_H2O_5+,-4813.951653048148,-4813.940276408062
V30_HF_H2O_5-,-4813.95152773623,-4813.940122231445
V30_HF_H2O_6+,-4813.951101788743,-4813.939698293063
V30_HF_H2O_6-,-4813.952035476933,-4813.940658060579
V30_HF_H2O_7+,-4813.951700379873,-4813.940293839717
V30_HF_H2O_7-,-4813.951435671452,-4813.940059481687
V30_HF_H2O_8+,-4813.951566779963,-4813.940175363569
V30_HF_H2O_8-,-4813.951566779963,-4813.940175363569
V30_HF_HCN,-5276.463999179294,-5276.449413229068
V30_HF_HCN_0+,-5276.463991578572,-5276.449406399431
V30_HF_HCN_0-,-5276.463991578572,-5276.449406399431
V30_HF_HCN_2+,-5276.46398889163,-5276.449356144704
V30_HF_HCN_2-,-5276.464008236485,-5276.449468957895
V30_HF_HCN_3+,-5276.46399499952,-5276.449408953344
V30_HF_HCN_3-,-5276.46399499952,-5276.449408953344
V30_HF_HCN_5+,-5276.463989188423,-5276.449403366956
V30_HF_HCN_5-,-5276.463989188423,-5276.449403366956
V30_HF_HCN_7+,-5276.463421112554,-5276.448834100286
V30_HF_HCN_7-,-5276.464559708784,-5276.449974870984
V30_HF_HCN_8+,-5276.463756708627,-5276.449157107248
V30_HF_HCN_8-,-5276.464197636985,-5276.449625663212
V30_HF_HCN_9+,-5276.463616477119,-5276.449048289871
V30_HF_HCN_9-,-5276.464325703633,-5276.449726152492
V30_HF_HF,-5467.6260310558355,-5467.62544439218
V30_HF_HF_0+,-5467.626021939711,-5467.625427118968
V30_HF_HF_0-,-5467.626039997589,-5467.625461504768
V30_HF_HF_1+,-5467.626032098619,-5467.62552616626
V30_HF_HF_1-,-5467.626031443947,-5467.625364022613
V30_HF_HF_2+,-5467.626029793568,-5467.625443480338
V30_HF_HF_2-,-5467.626029793568,-5467.625443480338
V30_HF_HF_3+,-5467.626008132548,-5467.6254785650835
V30_HF_HF_3-,-5467.626047198717,-5467.625403660937
V30_HF_HF_4+,-5467.626477268379,-5467.625874524764
V30_HF_HF_4-,-5467.625523982512,-5467.624954657769
V30_HF_HF_5+,-5467.625712608902,-5467.625139625309
V30_HF_HF_5-,-5467.6262856435005,-5467.625686510684
V30_HF_N2,-5714.880275443718,-5714.887563164937
V30_HF_N2_0+,-5714.880265422479,-5714.887553840697
V30_HF_N2_0-,-5714.880265422479,-5714.887553840697
V30_HF_N2_2+,-5714.880268624716,-5714.887554319346
V30_HF_N2_2-,-5714.880281795451,-5714.887571449517
V30_HF_N2_3+,-5714.880275091456,-5714.887561894421
V30_HF_N2_3-,-5714.880275091456,-5714.887561894421
V30_HF_N2_5+,-5714.879603216336,-5714.886917105465
V30_HF_N2_5-,-5714.8809265213495,-5714.888187324469
V30_HF_N2_6+,-5714.879861097636,-5714.887210857952
V30_HF_N2_6-,-5714.880627715293,-5714.887857217386
V30_HF_NH3,-4273.0716838794315,-4273.068557404275
V30_HF_NH3_0+,-4273.07168312969,-4273.068557000932
V30_HF_NH3_0-,-4273.07168312874,-4273.068556999856
V30_HF_NH3_10+,-4273.071660100371,-4273.068533279022
V30_HF_NH3_10-,-4273.071660100371,-4273.068533279022
V30_HF_NH3_2+,-4273.071663531172,-4273.068465780674
V30_HF_NH3_2-,-4273.071701890344,-4273.068646523477
V30_HF_NH3_3+,-4273.071671496474,-4273.068546247648
V30_HF_NH3_3-,-4273.0716714964565,-4273.068546247044
V30_HF_NH3_5+,-4273.071753485446,-4273.068635390039
V30_HF_NH3_5-,-4273.071609538276,-4273.068474628097
V30_HF_NH3_6+,-4273.071678875502,-4273.068552343424
V30_HF_NH3_6-,-4273.071678875506,-4273.068552343428
V30_HF_NH3_7+,-4273.071678876284,-4273.068552344212
V30_HF_NH3_7-,-4273.071678874723,-4273.06855234264
V30_HF_NH3_8+,-4273.071275056475,-4273.068007745182
V30_HF_NH3_8-,-4273.072048993601,-4273.069063414318
V30_HF_NH3_9+,-4273.071652288099,-4273.068503581908
V30_HF_NH3_9-,-4273.071670669742,-4273.068565803126
V30_N2_Ar,-17335.297529297364,-17334.18488829793
V30_N2_Ar_2+,-17335.298163338415,-17334.1854886433
V30_N2_Ar_2-,-17335.296874295593,-17334.1842662657
V30_N2_N2,-5962.143690316105,-5962.143732789151
V30_N2_N2_3+,-5962.143669042718,-5962.143705616639
V30_N2_N2_3-,-5962.14369748552,-5962.143745807142
V30_N2_N2_4+,-5962.142770236881,-5962.142805644929
V30_N2_N2_4-,-5962.144589387112,-5962.1446393027245
V30_N2_N2_5+,-5962.143679804558,-5962.143722476909
V30_N2_N2_5-,-5962.143679804558,-5962.143722476909
V30_NH3_Ar,-15893.074674441767,-15891.939950741396
V30_NH3_Ar_0+,-15893.074651122886,-15891.939850742727
V30_NH3_Ar_0-,-15893.07469734437,-15891.940050916372
V30_NH3_Ar_1+,-15893.074675266338,-15891.939952474419
V30_NH3_Ar_1-,-15893.074675266338,-15891.939952474419
V30_NH3_Ar_2+,-15893.07464821266,-15891.940022757903
V30_NH3_Ar_2-,-15893.074701547199,-15891.939883131625
V30_NH3_Ar_3+,-15893.074620082725,-15891.939908895842
V30_NH3_Ar_3-,-15893.074724812452,-15891.939988667238
V30_NH3_Ar_4+,-15893.074669829834,-15891.939970702468
V30_NH3_Ar_4-,-15893.074669030646,-15891.939920926665
V30_NH3_Ar_5+,-15893.07466941534,-15891.939945814998
V30_NH3_Ar_5-,-15893.07466941534,-15891.939945814998
V30_NH3_Ar_6+,-15893.074695843772,-15891.940018595442
V30_NH3_Ar_6-,-15893.074608749637,-15891.939838897206
V30_NH3_Ar_7+,-15893.074651957248,-15891.939908954906
V30_NH3_Ar_7-,-15893.0746496322,-15891.939945542648
V30_NH3_Ar_8+,-15893.074650845665,-15891.939927322277
V30_NH3_Ar_8-,-15893.074650845665,-15891.939927322277
V30_NH3_NH3,-3077.7655351515923,-3077.7622590642977
V30_NH3_NH3_0+,-3077.765538075633,-3077.7622882895676
V30_NH3_NH3_0-,-3077.765533343049,-3077.762231110518
V30_NH3_NH3_1+,-3077.765535993652,-3077.762259926046
V30_NH3_NH3_1-,-3077.765535993652,-3077.762259926046
V30_NH3_NH3_10+,-3077.765524189924,-3077.762249310495
V30_NH3_NH3_10-,-3077.765535952384,-3077.7622586438156
V30_NH3_NH3_11+,-3077.76552998107,-3077.7622538865435
V30_NH3_NH3_11-,-3077.76552998107,-3077.7622538865435
V30_NH3_NH3_12+,-3077.7654534125745,-3077.7621788588103
V30_NH3_NH3_12-,-3077.7655730704964,-3077.76229507759
V30_NH3_NH3_13+,-3077.76555745679,-3077.7622838272882
V30_NH3_NH3_13-,-3077.765468408014,-3077.7621894620456
V30_NH3_NH3_14+,-3077.7655139951135,-3077.7622407623057
V30_NH3_NH3_14-,-3077.765509647946,-3077.762230351388
V30_NH3_NH3_15+,-3077.7655152974166,-3077.7622403699747
V30_NH3_NH3_15-,-3077.7655076114415,-3077.7622300705957
V30_NH3_NH3_16+,-3077.765511556732,-3077.7622352844764
V30_NH3_NH3_16-,-3077.765511556732,-3077.7622352844764
V30_NH3_NH3_17+,-3077.7655114920176,-3077.76223518339
V30_NH3_NH3_17-,-3077.7655114920176,-3077.76223518339
V30_NH3_NH3_2+,-3077.765535110879,-3077.7622590322917
V30_NH3_NH3_2-,-3077.765535110879,-3077.7622590322917
V30_NH3_NH3_3+,-3077.765532142966,-3077.7622597390878
V30_NH3_NH3_3-,-3077.765537499281,-3077.7622577122493
V30_NH3_NH3_4+,-3077.765534398967,-3077.7622583022685
V30_NH3_NH3_4-,-3077.765534398967,-3077.7622583022685
V30_NH3_NH3_5+,-3077.765569704043,-3077.762289522239
V30_NH3_NH3_5-,-3077.7654958398202,-3077.762223796249
V30_NH3_NH3_6+,-3077.765517340276,-3077.7622398688404
V30_NH3_NH3_6-,-3077.765548803234,-3077.762274103224
V30_NH3_NH3_7+,-3077.7656115394107,-3077.76233705364
V30_NH3_NH3_7-,-3077.765454470859,-3077.7621767776227
V30_NH3_NH3_8+,-3077.7655320787608,-3077.7622531981847
V30_NH3_NH3_8-,-3077.765528235163,-3077.762254942512
V30_NH3_NH3_9+,-3077.7655300952724,-3077.7622539869076
V30_NH3_NH3_9-,-3077.7655300952724,-3077.7622539869076
