,mace-polar-1-s,mace-polar-1-m,mace-polar-1-l
V30_H2O_H2O_5-,-4159.944046273809,-4159.947393882325,-4159.948789436299
V30_H2O_H2O_6+,-4159.944101350586,-4159.9474493608295,-4159.948843880024
V30_H2O_H2O_6-,-4159.943992231608,-4159.947340098817,-4159.948736556963
V30_H2O_H2O_7+,-4159.94396685188,-4159.9473162794475,-4159.94871106765
V30_H2O_H2O_7-,-4159.944126537186,-4159.947472981526,-4159.948869169276
V30_H2O_H2O_8+,-4159.944283157317,-4159.947635234634,-4159.949028913028
V30_H2O_H2O_8-,-4159.943767959298,-4159.947111746616,-4159.9485090330745
V30_H2O_H2O_9+,-4159.943816681418,-4159.947166087617,-4159.948559461487
V30_H2O_H2O_9-,-4159.944232020172,-4159.947578386147,-4159.94897597934
V30_H2O_NH3,-3618.9689505833567,-3618.9562170146364,-3618.960165824423
V30_H2O_NH3_1+,-3618.968940497364,-3618.956200602644,-3618.9601597658866
V30_H2O_NH3_1-,-3618.9689602038507,-3618.956232946483,-3618.960171445443
V30_H2O_NH3_10+,-3618.9688681596076,-3618.956136493092,-3618.9600844695556
V30_H2O_NH3_10-,-3618.9689881204104,-3618.956252589065,-3618.960202323565
V30_H2O_NH3_11+,-3618.9689206434055,-3618.9561867473567,-3618.960135767839
V30_H2O_NH3_11-,-3618.9689329568037,-3618.956199520273,-3618.9601482234193
V30_H2O_NH3_12+,-3618.9689267548893,-3618.95619315846,-3618.9601419765927
V30_H2O_NH3_12-,-3618.9689267548893,-3618.9561930267223,-3618.9601419298647
V30_H2O_NH3_13+,-3618.9686875602356,-3618.955969706906,-3618.9599173924466
V30_H2O_NH3_13-,-3618.969164371219,-3618.95641543056,-3618.960365191749
V30_H2O_NH3_14+,-3618.9690240073105,-3618.9562947051377,-3618.960246445386
V30_H2O_NH3_14-,-3618.9688205122384,-3618.956082668197,-3618.9600286102523
V30_H2O_NH3_2+,-3618.9689503098566,-3618.956216868704,-3618.9601655939846
V30_H2O_NH3_2-,-3618.9689503098566,-3618.9562166808114,-3618.960165545096
V30_H2O_NH3_3+,-3618.968961619768,-3618.956211374896,-3618.960159639944
V30_H2O_NH3_3-,-3618.9689382321076,-3618.9562214560992,-3618.9601707492193
V30_H2O_NH3_4+,-3618.968989624314,-3618.9562429926414,-3618.960172689251
V30_H2O_NH3_4-,-3618.968906004082,-3618.9561858502702,-3618.960153769982
V30_H2O_NH3_5+,-3618.9689438365017,-3618.9562109424533,-3618.960159533176
V30_H2O_NH3_5-,-3618.9689438365017,-3618.9562093876493,-3618.9601583285958
V30_H2O_NH3_6+,-3618.968877513877,-3618.956139635316,-3618.9600918879855
V30_H2O_NH3_6-,-3618.969019124323,-3618.9562899667635,-3618.96023533727
V30_H2O_NH3_7+,-3618.9689788595288,-3618.9562469557686,-3618.9601945005465
V30_H2O_NH3_7-,-3618.968912459948,-3618.956177184129,-3618.9601272009168
V30_H2O_NH3_8+,-3618.9689456102587,-3618.956211964814,-3618.960160777778
V30_H2O_NH3_8-,-3618.9689456102587,-3618.956212003091,-3618.9601607611503
V30_H2O_NH3_9+,-3618.9689997922537,-3618.956259753214,-3618.9602131891356
V30_H2O_NH3_9-,-3618.9688912045435,-3618.9561641187925,-3618.9601082779977
V30_HF_Ar,-17087.944971028446,-17087.989850367656,-17088.01895749851
V30_HF_Ar_0+,-17087.945126178347,-17087.989963237083,-17088.019064092096
V30_HF_Ar_0-,-17087.94481162634,-17087.989735601182,-17088.018847522577
V30_HF_Ar_1+,-17087.944973394744,-17087.989853259776,-17088.018958776338
V30_HF_Ar_1-,-17087.944973394744,-17087.9898520369,-17088.018958323846
V30_HF_Ar_3+,-17087.94534216676,-17087.990248249298,-17088.019170276817
V30_HF_Ar_3-,-17087.944535625033,-17087.989388964917,-17088.018682192425
V30_HF_C2H2,-4837.978948637601,-4838.013324795091,-4838.016599889493
V30_HF_C2H2_0+,-4837.978943701032,-4838.013319812828,-4838.016594941569
V30_HF_C2H2_0-,-4837.978943701032,-4838.013319924162,-4838.016595028431
V30_HF_C2H2_1+,-4837.978902880483,-4838.013286192157,-4838.016597400702
V30_HF_C2H2_1-,-4837.978993375146,-4838.013362532008,-4838.016601593754
V30_HF_C2H2_10+,-4837.978728340194,-4838.013098399481,-4838.016377938333
V30_HF_C2H2_10-,-4837.979123191855,-4838.013506097973,-4838.016776861067
V30_HF_C2H2_11+,-4837.978630659771,-4838.012890337161,-4838.016156147293
V30_HF_C2H2_11-,-4837.979210174524,-4838.0137009032105,-4838.016985932863
V30_HF_C2H2_2+,-4837.978948727707,-4838.013324239232,-4838.016599315926
V30_HF_C2H2_2-,-4837.978948726783,-4838.01332394979,-4838.016598748296
V30_HF_C2H2_3+,-4837.978946315739,-4838.013322330007,-4838.016597747226
V30_HF_C2H2_3-,-4837.978946315739,-4838.013322756066,-4838.016597748451
V30_HF_C2H2_4+,-4837.978941251893,-4838.013316922063,-4838.016591871652
V30_HF_C2H2_4-,-4837.978941251893,-4838.013316916973,-4838.016591868367
V30_HF_C2H2_5+,-4837.978939891202,-4838.013316157286,-4838.0165916309215
V30_HF_C2H2_5-,-4837.978939891202,-4838.013316508416,-4838.016591730827
V30_HF_C2H2_6+,-4837.978938628861,-4838.013314849278,-4838.016589570002
V30_HF_C2H2_6-,-4837.978938641554,-4838.013315825231,-4838.016590299273
V30_HF_C2H2_7+,-4837.978922132096,-4838.013297412527,-4838.016545805698
V30_HF_C2H2_7-,-4837.978954405055,-4838.013331231458,-4838.0166334526375
V30_HF_C2H2_8+,-4837.979418435045,-4838.0137435831575,-4838.017026414906
V30_HF_C2H2_8-,-4837.978463668134,-4838.012890963744,-4838.016158235227
V30_HF_C2H2_9+,-4837.978927118927,-4838.013303243285,-4838.016578421336
V30_HF_C2H2_9-,-4837.978927118927,-4838.013303624531,-4838.016578748678
V30_HF_CH4,-3835.534708560568,-3835.5878802062944,-3835.5995522407757
V30_HF_CH4_0+,-3835.5347081229584,-3835.5878799554343,-3835.5995519684116
V30_HF_CH4_0-,-3835.5347081639898,-3835.5878799802776,-3835.5995519323255
V30_HF_CH4_10+,-3835.5346936470437,-3835.5878778189676,-3835.599553970155
V30_HF_CH4_10-,-3835.534689389375,-3835.587848747156,-3835.599516515544
V30_HF_CH4_11+,-3835.5346904011944,-3835.5878619893597,-3835.5995339250694
V30_HF_CH4_11-,-3835.5346904011944,-3835.587862170064,-3835.599534098113
V30_HF_CH4_13+,-3835.534698285632,-3835.58784355289,-3835.5995152816313
V30_HF_CH4_13-,-3835.534682178205,-3835.5878801041267,-3835.599552395492
V30_HF_CH4_14+,-3835.5345447953287,-3835.5874351475336,-3835.599136607015
V30_HF_CH4_14-,-3835.534808316065,-3835.5882622367017,-3835.5999060760746
V30_HF_CH4_2+,-3835.534952915115,-3835.5878809031956,-3835.5995445467124
V30_HF_CH4_2-,-3835.534462759172,-3835.58787896673,-3835.599559526117
V30_HF_CH4_3+,-3835.534710864151,-3835.587881358379,-3835.5995532126717
V30_HF_CH4_3-,-3835.534710864151,-3835.587881305763,-3835.59955309997
V30_HF_CH4_5+,-3835.5347053195146,-3835.587876955419,-3835.5995489697343
V30_HF_CH4_5-,-3835.5347053195146,-3835.5878769479223,-3835.5995489534057
V30_HF_CH4_7+,-3835.5346229643783,-3835.587859183793,-3835.599527334677
V30_HF_CH4_7-,-3835.534787408137,-3835.5878946947128,-3835.599570578351
V30_HF_CH4_8+,-3835.5347041348,-3835.5878757460923,-3835.599547746967
V30_HF_CH4_8-,-3835.5347041785917,-3835.587875796883,-3835.599547791741
V30_HF_CH4_9+,-3835.5347041536656,-3835.5878757661458,-3835.599547767723
V30_HF_CH4_9-,-3835.5347041536656,-3835.587875776883,-3835.5995477711363
V30_HF_CO,-5817.970428299341,-5817.9034322254365,-5817.902581690443
V30_HF_CO_0+,-5817.9704241168365,-5817.903426670569,-5817.902575472738
V30_HF_CO_0-,-5817.9704241168365,-5817.903428689871,-5817.902576732858
V30_HF_CO_2+,-5817.970533901129,-5817.903399444706,-5817.902583523498
V30_HF_CO_2-,-5817.970321895628,-5817.903464555612,-5817.902579484303
V30_HF_CO_3+,-5817.970429077667,-5817.903432774013,-5817.902582044961
V30_HF_CO_3-,-5817.970429077667,-5817.9034327704885,-5817.902582007808
V30_HF_CO_5+,-5817.970076437493,-5817.903105185527,-5817.902207834388
V30_HF_CO_5-,-5817.970762986603,-5817.903741964384,-5817.90293829721
V30_HF_CO_6+,-5817.970036826184,-5817.902975790121,-5817.902218732783
V30_HF_CO_6-,-5817.970755288382,-5817.903825940363,-5817.9028814022195
V30_HF_H2O,-4813.950004132521,-4813.963339956835,-4813.948942947567
V30_HF_H2O_0+,-4813.950046134246,-4813.96331660662,-4813.9489462616775
V30_HF_H2O_0-,-4813.949960907468,-4813.96336188086,-4813.948938432393
V30_HF_H2O_1+,-4813.950004392197,-4813.963340465814,-4813.948943422185
V30_HF_H2O_1-,-4813.950004392197,-4813.963339570049,-4813.948942937339
V30_HF_H2O_2+,-4813.949879657313,-4813.963324737724,-4813.94891009487
V30_HF_H2O_2-,-4813.950127206569,-4813.963353687272,-4813.948974495645
V30_HF_H2O_3+,-4813.949934379654,-4813.963384532939,-4813.948933134327
V30_HF_H2O_3-,-4813.950062971953,-4813.963283205181,-4813.948941690362
V30_HF_H2O_4+,-4813.949995658693,-4813.96333069626,-4813.948934401795
V30_HF_H2O_4-,-4813.949995658693,-4813.963329941826,-4813.948934355014
V30_HF_H2O_5+,-4813.95006685498,-4813.9633992228,-4813.949007691733
V30_HF_H2O_5-,-4813.949931785938,-4813.963271004328,-4813.948868548023
V30_HF_H2O_6+,-4813.949608438531,-4813.962825228042,-4813.948441269834
V30_HF_H2O_6-,-4813.950347541693,-4813.963801453026,-4813.949390850807
V30_HF_H2O_7+,-4813.950133302472,-4813.963447576774,-4813.949038661056
V30_HF_H2O_7-,-4813.949820287305,-4813.963177442416,-4813.9487925156845
V30_HF_H2O_8+,-4813.949975475563,-4813.9633110080085,-4813.948914136611
V30_HF_H2O_8-,-4813.949975475563,-4813.963311433984,-4813.948914571314
V30_HF_HCN,-5276.465112900695,-5276.456667663417,-5276.46027434564
V30_HF_HCN_0+,-5276.465105897415,-5276.456658178712,-5276.460264806553
V30_HF_HCN_0-,-5276.465105897415,-5276.4566621939175,-5276.460268736199
V30_HF_HCN_2+,-5276.465126353563,-5276.456673257974,-5276.460258395242
V30_HF_HCN_2-,-5276.46509751103,-5276.456660860889,-5276.460289142887
V30_HF_HCN_3+,-5276.465109121372,-5276.45666269522,-5276.4602697106175
V30_HF_HCN_3-,-5276.465109121372,-5276.456664327222,-5276.460271009506
V30_HF_HCN_5+,-5276.465103001001,-5276.4566568846685,-5276.460263721659
V30_HF_HCN_5-,-5276.465103001001,-5276.456658444944,-5276.460264632126
V30_HF_HCN_7+,-5276.464611737243,-5276.456104163375,-5276.45969084416
V30_HF_HCN_7-,-5276.4655967499475,-5276.457213662297,-5276.460840273084
V30_HF_HCN_8+,-5276.464920902906,-5276.456436061703,-5276.460028304289
V30_HF_HCN_8-,-5276.465260992065,-5276.4568553352,-5276.46047673276
V30_HF_HCN_9+,-5276.4646756115235,-5276.456260475364,-5276.4598774552105
V30_HF_HCN_9-,-5276.465493934197,-5276.45701889334,-5276.46061444368
V30_HF_HF,-5467.628459785194,-5467.610822061418,-5467.612262923617
V30_HF_HF_0+,-5467.62849372781,-5467.610796455146,-5467.6122736837515
V30_HF_HF_0-,-5467.628424917925,-5467.610847570175,-5467.612251971178
V30_HF_HF_1+,-5467.628458754299,-5467.610851365868,-5467.612290309189
V30_HF_HF_1-,-5467.628461607593,-5467.610794552263,-5467.612237240106
V30_HF_HF_2+,-5467.628458097292,-5467.610821160695,-5467.612262001592
V30_HF_HF_2-,-5467.628458097292,-5467.61082065507,-5467.612262133997
V30_HF_HF_3+,-5467.628397432282,-5467.610864121116,-5467.612227476866
V30_HF_HF_3-,-5467.628514752638,-5467.610773591625,-5467.612292538449
V30_HF_HF_4+,-5467.628789656077,-5467.6112671343,-5467.612729068052
V30_HF_HF_4-,-5467.628069462058,-5467.610317372285,-5467.611736207444
V30_HF_HF_5+,-5467.628147564214,-5467.6104864739455,-5467.611963448854
V30_HF_HF_5-,-5467.628707280145,-5467.611094647112,-5467.612500024677
V30_HF_N2,-5714.910634842699,-5714.8714325316105,-5714.878941808679
V30_HF_N2_0+,-5714.910625325444,-5714.871423259781,-5714.878931812607
V30_HF_N2_0-,-5714.910625325444,-5714.871423557111,-5714.878931862193
V30_HF_N2_2+,-5714.910589755805,-5714.871419547216,-5714.878936178879
V30_HF_N2_2-,-5714.910679673525,-5714.871445364761,-5714.878946975525
V30_HF_N2_3+,-5714.910634462005,-5714.871432342873,-5714.878941345119
V30_HF_N2_3-,-5714.910634462005,-5714.871432287681,-5714.878941497519
V30_HF_N2_5+,-5714.910015437842,-5714.870788209707,-5714.878280734539
V30_HF_N2_5-,-5714.911232819709,-5714.872055697281,-5714.879581623837
V30_HF_N2_6+,-5714.910271698325,-5714.871045923942,-5714.878585261903
V30_HF_N2_6-,-5714.910937526579,-5714.871757859436,-5714.879236558825
V30_HF_NH3,-4273.094919925187,-4273.084665581744,-4273.0655932472555
V30_HF_NH3_0+,-4273.094919313246,-4273.084665378557,-4273.065593004613
V30_HF_NH3_0-,-4273.094919306498,-4273.084664227424,-4273.065592156679
V30_HF_NH3_10+,-4273.094896031511,-4273.084641747769,-4273.065569435802
V30_HF_NH3_10-,-4273.094896031511,-4273.084641600609,-4273.0655693721
V30_HF_NH3_2+,-4273.094805362612,-4273.084663671879,-4273.065588557962
V30_HF_NH3_2-,-4273.095032387175,-4273.084664866941,-4273.065595632234
V30_HF_NH3_3+,-4273.094907060049,-4273.084652847643,-4273.065581393445
V30_HF_NH3_3-,-4273.094907060383,-4273.084650830904,-4273.065580487065
V30_HF_NH3_5+,-4273.09500700705,-4273.0847237158605,-4273.065659327105
V30_HF_NH3_5-,-4273.094827954259,-4273.084602736536,-4273.065522482259
V30_HF_NH3_6+,-4273.09491501906,-4273.084660611483,-4273.065588311848
V30_HF_NH3_6-,-4273.094915019051,-4273.084660472415,-4273.065588175855
V30_HF_NH3_7+,-4273.094915014502,-4273.084660611657,-4273.0655883116015
V30_HF_NH3_7-,-4273.0949150083225,-4273.084660472183,-4273.065588175674
V30_HF_NH3_8+,-4273.094661073862,-4273.084188603785,-4273.065165078291
V30_HF_NH3_8-,-4273.095136347688,-4273.08509694489,-4273.06597769807
V30_HF_NH3_9+,-4273.094930707143,-4273.084629469449,-4273.065565007444
V30_HF_NH3_9-,-4273.094863829866,-4273.084656521572,-4273.065576593818
V30_N2_Ar,-17335.330329666423,-17335.375518074186,-17335.350010568272
V30_N2_Ar_2+,-17335.33095498301,-17335.3761554862,-17335.350644524933
V30_N2_Ar_2-,-17335.3296839036,-17335.37485967452,-17335.34935560174
V30_N2_N2,-5962.149886641987,-5962.151623717528,-5962.158952304117
V30_N2_N2_3+,-5962.149956260551,-5962.151613118205,-5962.158963735033
V30_N2_N2_3-,-5962.149802243469,-5962.151620117002,-5962.158927044851
V30_N2_N2_4+,-5962.1489685389115,-5962.150687271263,-5962.158026848867
V30_N2_N2_4-,-5962.150783571128,-5962.152539169008,-5962.159856607759
V30_N2_N2_5+,-5962.14987605944,-5962.151613238357,-5962.158941675095
V30_N2_N2_5-,-5962.14987605944,-5962.151613182817,-5962.15894177664
V30_NH3_Ar,-15893.029587072378,-15893.104366714771,-15893.118715689343
V30_NH3_Ar_0+,-15893.029642338284,-15893.104388665864,-15893.118703396349
V30_NH3_Ar_0-,-15893.029531255836,-15893.104343953884,-15893.118727250509
V30_NH3_Ar_1+,-15893.029589826254,-15893.104368430775,-15893.118717655312
V30_NH3_Ar_1-,-15893.029589826254,-15893.104367233675,-15893.11871664728
V30_NH3_Ar_2+,-15893.02965112866,-15893.104337241668,-15893.118699596249
V30_NH3_Ar_2-,-15893.029529127918,-15893.104396589868,-15893.118732640587
V30_NH3_Ar_3+,-15893.029538546038,-15893.104309325216,-15893.11865588472
V30_NH3_Ar_3-,-15893.029631484998,-15893.10442007933,-15893.118771477803
V30_NH3_Ar_4+,-15893.029615908143,-15893.104351960552,-15893.118714649923
V30_NH3_Ar_4-,-15893.02954821017,-15893.10437143432,-15893.118706694924
V30_NH3_Ar_5+,-15893.029582044519,-15893.104361703798,-15893.118710676868
V30_NH3_Ar_5-,-15893.029582044519,-15893.104361669592,-15893.118710590234
V30_NH3_Ar_6+,-15893.029648137437,-15893.104390224655,-15893.118746195287
V30_NH3_Ar_6-,-15893.029481603495,-15893.104298434731,-15893.11864053536
V30_NH3_Ar_7+,-15893.029561567038,-15893.104346972808,-15893.118693887243
V30_NH3_Ar_7-,-15893.029565396437,-15893.104338926774,-15893.11868990972
V30_NH3_Ar_8+,-15893.029563401922,-15893.10434282701,-15893.118691900881
V30_NH3_Ar_8-,-15893.029563401922,-15893.10434297107,-15893.118691939819
V30_NH3_NH3,-3077.7667821936952,-3077.761418600703,-3077.763187549441
V30_NH3_NH3_0+,-3077.7669170611466,-3077.761445094159,-3077.7631994901535
V30_NH3_NH3_0-,-3077.7666530650686,-3077.7613929912072,-3077.763176450947
V30_NH3_NH3_1+,-3077.7667818376262,-3077.7614197874573,-3077.76318895617
V30_NH3_NH3_1-,-3077.7667818376262,-3077.761418256215,-3077.763187505664
V30_NH3_NH3_10+,-3077.766765670494,-3077.7614067246604,-3077.763175596131
V30_NH3_NH3_10-,-3077.7667885958767,-3077.7614203148373,-3077.763189308654
V30_NH3_NH3_11+,-3077.766776979145,-3077.761413500535,-3077.763182414875
V30_NH3_NH3_11-,-3077.766776979145,-3077.761413413185,-3077.7631823262795
V30_NH3_NH3_12+,-3077.7666973603223,-3077.761349659746,-3077.76311401277
V30_NH3_NH3_12-,-3077.766823048305,-3077.761443361623,-3077.7632169853014
V30_NH3_NH3_13+,-3077.766788885074,-3077.7614394806487,-3077.763207630285
V30_NH3_NH3_13-,-3077.7667304880692,-3077.7613528907264,-3077.7631227624684
V30_NH3_NH3_14+,-3077.7667337887574,-3077.761395039571,-3077.7631620857082
V30_NH3_NH3_14-,-3077.766783666599,-3077.761395297518,-3077.763166106434
V30_NH3_NH3_15+,-3077.7667630756046,-3077.761397191029,-3077.763167912816
V30_NH3_NH3_15-,-3077.766753588696,-3077.7613923660874,-3077.7631596445553
V30_NH3_NH3_16+,-3077.766758275603,-3077.76139467928,-3077.7631637345867
V30_NH3_NH3_16-,-3077.766758275603,-3077.7613948881235,-3077.763163782151
V30_NH3_NH3_17+,-3077.7667582126783,-3077.761394656561,-3077.7631636980777
V30_NH3_NH3_17-,-3077.7667582126783,-3077.7613947609007,-3077.7631637234595
V30_NH3_NH3_2+,-3077.7667823283095,-3077.7614184900144,-3077.763187580807
V30_NH3_NH3_2-,-3077.7667823283095,-3077.761418563661,-3077.763187432042
V30_NH3_NH3_3+,-3077.7667953185746,-3077.761421361116,-3077.7631810344965
V30_NH3_NH3_3-,-3077.766768361171,-3077.761415194611,-3077.7631934219094
V30_NH3_NH3_4+,-3077.7667813251787,-3077.7614176167026,-3077.763186554646
V30_NH3_NH3_4-,-3077.7667813251787,-3077.761417875612,-3077.763186940267
V30_NH3_NH3_5+,-3077.7668364341166,-3077.761453609762,-3077.7632090046227
V30_NH3_NH3_5-,-3077.766723633963,-3077.7613786539187,-3077.763161198617
V30_NH3_NH3_6+,-3077.7667529127866,-3077.7613993059963,-3077.763168318387
V30_NH3_NH3_6-,-3077.7668074083185,-3077.761433721713,-3077.763202617499
V30_NH3_NH3_7+,-3077.7668753034727,-3077.761490240968,-3077.7632643826523
V30_NH3_NH3_7-,-3077.7666847389305,-3077.761342657109,-3077.7631064241996
V30_NH3_NH3_8+,-3077.7667722112055,-3077.7614161943807,-3077.763182760368
V30_NH3_NH3_8-,-3077.7667821420164,-3077.7614110222758,-3077.76318232957
V30_NH3_NH3_9+,-3077.7667771520496,-3077.7614135373005,-3077.7631824488135
V30_NH3_NH3_9-,-3077.7667771520496,-3077.761413574503,-3077.763182496586
